Episode ID,Language Instruction,Checkpoint Name,Task,GT video (1/3),GT video (2/3),GT video (3/3)
2026-04-01-054617Z-ur5e_single_4-4d91350f43f5,pick up yellow cup and put yellow cup in the blue trash can,jun23_pretrain_80000,eval_17724,1,1,0
2026-04-01-060119Z-ur5e_single_4-063834052a07,pick up orange cup and put orange cup in the blue trash can,jun23_pretrain_80000,eval_17724,1,1,1
2026-04-01-060959Z-ur5e_single_4-98798f825c68,pick up blue bowl and put blue bowl in the blue trash can,jun23_pretrain_80000,eval_17724,1,1,0
2026-04-01-061552Z-ur5e_single_4-4c6cca128676,pick up white bowl and put white bowl in the blue trash can,jun23_pretrain_80000,eval_17724,1,1,0
2026-04-01-062156Z-ur5e_single_4-a754aa777d21,pick up orange plate and put orange plate in the blue trash can,jun23_pretrain_80000,eval_17724,1,0,0
2026-04-01-063631Z-ur5e_single_4-5128796e6251,pick up chopstick and put chopstick in the blue trash can,jun23_pretrain_80000,eval_17724,0,0,0
2026-04-01-064734Z-ur5e_single_4-cfdc9ab8db7f,pick up spoon and put spoon in the blue trash can,jun23_pretrain_80000,eval_17724,0,0,0
2026-04-01-074119Z-ur5e_single_4-7b5a6390882e,pick up chip bag and put chip bag in the clear bussing bin to the left,jun23_pretrain_80000,eval_17724,1,1,1
2026-04-01-075817Z-ur5e_single_4-05911986fcd1,pick up plastic lid and put plastic lid in the clear bussing bin to the left,jun23_pretrain_80000,eval_17724,1,1,1
2026-04-01-081241Z-ur5e_single_4-41eef5d50945,pick up plastic container and put plastic container in the clear bussing bin to the left,jun23_pretrain_80000,eval_17724,1,1,0
2026-04-01-082757Z-ur5e_single_4-a3e476e2bff4,pick up foil tray and put foil tray in the clear bussing bin to the left,jun23_pretrain_80000,eval_17724,1,1,1
2026-04-01-084813Z-ur5e_single_4-198078bfd7a8,pick up bottle and put bottle in the clear bussing bin to the left,jun23_pretrain_80000,eval_17724,1,1,0
2026-04-01-092028Z-ur5e_single_4-178380dc56f1,pick up yellow cup and put yellow cup in the blue trash can,jun23_pretrain_80000,eval_17724,1,1,1
2026-04-01-093443Z-ur5e_single_4-82eeaac431bb,pick up orange cup and put orange cup in the blue trash can,jun23_pretrain_80000,eval_17724,1,1,1
2026-04-01-103202Z-ur5e_single_4-2b79ee06f680,pick up white bowl and put white bowl in the blue trash can,jun23_pretrain_80000,eval_17724,1,1,0
2026-04-01-110937Z-ur5e_single_4-36220cd1fff4,pick up orange plate and put orange plate in the blue trash can,jun23_pretrain_80000,eval_17724,1,0,0
2026-04-01-121612Z-ur5e_single_4-51292dd70107,pick up chopstick and put chopstick in the blue trash can,jun23_pretrain_80000,eval_17724,1,1,1
2026-04-01-123327Z-ur5e_single_4-585ff86d003a,pick up spoon and put spoon in the blue trash can,jun23_pretrain_80000,eval_17724,1,0,0
2026-04-01-124418Z-ur5e_single_4-8ac8625254e3,pick up chip bag and put chip bag in the clear bussing bin to the left,jun23_pretrain_80000,eval_17724,1,1,0
2026-04-01-125403Z-ur5e_single_4-4af61e19ab4c,pick up plastic lid and put plastic lid in the clear bussing bin to the left,jun23_pretrain_80000,eval_17724,1,1,0
2026-04-01-130142Z-ur5e_single_4-e377adc921f6,pick up plastic container and put plastic container in the clear bussing bin to the left,jun23_pretrain_80000,eval_17724,0,0,0
2026-04-01-132006Z-ur5e_single_4-ac0f328947cb,pick up foil tray and put foil tray in the clear bussing bin to the left,jun23_pretrain_80000,eval_17724,1,0,0
2026-04-01-134451Z-ur5e_single_4-e1bdb26e7851,pick up bottle and put bottle in the clear bussing bin to the left,jun23_pretrain_80000,eval_17724,1,1,0
